market_id,entry_secs,entry_price,side,resolution,win,ep_bin
1378540,47,0.945,UP,1,True,0.93-0.96
1378543,43,0.955,DOWN,0,True,0.93-0.96
1378544,45,0.92,DOWN,0,True,0.90-0.93
1378555,44,0.895,UP,1,True,0.88-0.90
1378667,43,0.915,UP,1,True,0.90-0.93
1378673,47,0.91,DOWN,0,True,0.90-0.93
1378676,45,0.96,UP,1,True,0.93-0.96
1378683,47,0.935,UP,1,True,0.93-0.96
1378690,44,0.94,UP,1,True,0.93-0.96
1378697,42,0.925,UP,1,True,0.90-0.93
1378830,47,0.995,DOWN,0,True,>0.96
1378836,45,0.97,DOWN,0,True,>0.96
1378840,44,0.985,UP,1,True,>0.96
1378886,40,0.975,UP,1,True,>0.96
1378900,45,0.945,DOWN,0,True,0.93-0.96
1378907,47,0.94,UP,1,True,0.93-0.96
1379422,45,0.92,UP,1,True,0.90-0.93
1379426,44,0.945,UP,1,True,0.93-0.96
1379438,48,0.92,UP,1,True,0.90-0.93
1379446,45,0.94,UP,1,True,0.93-0.96
1379450,46,0.955,UP,1,True,0.93-0.96
1379463,44,0.895,DOWN,0,True,0.88-0.90
1379469,46,0.955,UP,1,True,0.93-0.96
1379474,45,0.975,DOWN,0,True,>0.96
1379480,43,0.975,DOWN,0,True,>0.96
1379485,44,0.905,DOWN,0,True,0.90-0.93
1379488,41,0.945,UP,1,True,0.93-0.96
1379509,33,0.965,UP,1,True,>0.96
1379516,45,0.975,DOWN,0,True,>0.96
1379521,44,0.925,DOWN,0,True,0.90-0.93
1379552,47,0.985,DOWN,0,True,>0.96
1379641,44,0.975,UP,1,True,>0.96
1379648,46,0.895,DOWN,0,True,0.88-0.90
1379699,43,0.955,DOWN,0,True,0.93-0.96
1379706,46,0.945,UP,1,True,0.93-0.96
1379724,46,0.995,UP,1,True,>0.96
1379727,46,0.955,UP,1,True,0.93-0.96
1379733,44,0.995,UP,1,True,>0.96
1379734,42,0.925,UP,1,True,0.90-0.93
1379802,31,0.965,DOWN,0,True,>0.96
1379805,44,0.905,DOWN,0,True,0.90-0.93
1379807,30,0.955,UP,1,True,0.93-0.96
1379811,45,0.965,UP,1,True,>0.96
1380065,42,0.995,DOWN,0,True,>0.96
1380073,47,0.965,DOWN,0,True,>0.96
1380078,46,0.905,UP,1,True,0.90-0.93
1380079,16,0.975,DOWN,0,True,>0.96
1380085,36,0.93,UP,1,True,0.90-0.93
