market_id,entry_secs,entry_price,side,resolution,win
1891770,0,0.99,DOWN,0,True
1891808,38,0.89,DOWN,0,True
1891852,6,0.89,DOWN,0,True
1891868,25,0.9,UP,1,True
1891876,45,0.9,UP,1,True
1892073,3,0.9,DOWN,1,False
1892205,60,0.99,UP,1,True
1892316,60,0.97,DOWN,0,True
1892324,27,0.88,UP,1,True
1892480,47,0.88,DOWN,0,True
1892504,51,0.91,UP,1,True
1892576,53,0.88,UP,1,True
1892871,60,0.88,DOWN,0,True
1892876,43,0.88,DOWN,0,True
1893028,3,0.92,DOWN,0,True
1893039,60,0.97,DOWN,0,True
1893174,22,0.89,DOWN,0,True
1893295,60,0.99,UP,1,True
1893303,21,0.91,UP,1,True
1893308,60,0.94,DOWN,0,True
1893462,60,0.96,DOWN,0,True
1893468,60,0.96,UP,1,True
1893613,44,0.88,UP,1,True
1893646,60,0.99,UP,1,True
1893680,36,0.994,UP,1,True
1893687,28,0.89,DOWN,0,True
1893770,28,0.88,UP,1,True
1893780,42,0.88,UP,1,True
1894026,60,0.94,DOWN,0,True
1894136,60,0.93,UP,0,False
1894163,50,0.88,DOWN,0,True
1894174,50,0.89,UP,1,True
1894481,3,0.93,UP,1,True
1894495,60,0.95,DOWN,0,True
1894666,60,0.91,UP,1,True
1894681,60,0.98,UP,1,True
1894757,0,0.99,DOWN,0,True
1894761,60,0.97,DOWN,0,True
1894771,47,0.88,DOWN,0,True
1894785,60,0.99,DOWN,0,True
1894935,59,0.9,UP,1,True
1895117,14,0.88,UP,1,True
1895138,36,0.9,DOWN,0,True
1895146,56,0.88,UP,1,True
1895322,60,0.99,UP,1,True
1895336,60,0.99,DOWN,0,True
1895351,19,0.88,DOWN,0,True
1895384,60,0.97,DOWN,0,True
1895411,0,0.999,DOWN,0,True
1895427,38,0.91,UP,1,True
1895437,60,0.993,UP,1,True
1895443,60,0.993,UP,1,True
1895467,60,0.96,DOWN,0,True
1895663,60,0.99,UP,1,True
1895670,60,0.98,UP,1,True
1895683,8,0.89,UP,1,True
1895973,43,0.89,DOWN,0,True
1895982,60,0.97,DOWN,0,True
1896005,60,0.97,UP,1,True
1896013,35,0.88,UP,0,False
1896074,60,0.9,DOWN,0,True
1896085,43,0.89,UP,1,True
1896101,57,0.92,DOWN,0,True
1896117,58,0.88,DOWN,0,True
1896163,60,0.99,UP,1,True
1896338,60,0.96,UP,1,True
1896355,60,0.996,UP,1,True
1896360,60,0.99,UP,1,True
1896571,60,0.99,DOWN,0,True
1896588,58,0.88,DOWN,0,True
1896600,60,0.99,DOWN,0,True
1896618,60,0.99,UP,1,True
1896708,60,0.96,UP,1,True
1896714,0,0.99,UP,1,True
1896738,42,0.89,DOWN,0,True
1896747,60,0.99,UP,1,True
1896791,48,0.88,DOWN,0,True
1897004,60,0.98,UP,1,True
1897023,60,0.99,UP,1,True
1897026,55,0.89,UP,1,True
1897458,47,0.88,DOWN,0,True
1897472,60,0.99,UP,1,True
1897507,60,0.92,UP,1,True
1897515,60,0.99,UP,1,True
1897614,57,0.89,UP,1,True
1897660,60,0.99,UP,1,True
