market_id,entry_secs,entry_price,side,resolution,win
1891576,120,0.87,DOWN,0,True
1891587,8,0.78,DOWN,1,False
1891688,120,0.96,UP,1,True
1891694,107,0.75,DOWN,0,True
1891739,120,0.96,UP,1,True
1891770,0,0.99,DOWN,0,True
1891808,114,0.77,UP,0,False
1891852,120,0.83,DOWN,0,True
1891868,58,0.75,UP,1,True
1891876,60,0.76,UP,1,True
1892073,48,0.76,DOWN,1,False
1892205,120,0.99,UP,1,True
1892316,120,0.83,DOWN,0,True
1892324,35,0.75,UP,1,True
1892480,100,0.75,DOWN,0,True
1892504,99,0.8,UP,1,True
1892576,119,0.8,UP,1,True
1892837,120,0.89,DOWN,0,True
1892871,120,0.86,DOWN,0,True
1892876,70,0.76,DOWN,0,True
1893028,120,0.84,UP,0,False
1893039,119,0.84,DOWN,0,True
1893174,93,0.75,DOWN,0,True
1893295,120,0.89,UP,1,True
1893303,120,0.77,DOWN,1,False
1893308,82,0.77,DOWN,0,True
1893462,119,0.79,DOWN,0,True
1893468,80,0.76,UP,1,True
1893613,120,0.8,UP,1,True
1893646,120,0.97,UP,1,True
1893680,36,0.994,UP,1,True
1893687,49,0.75,DOWN,0,True
1893770,120,0.78,UP,1,True
1893780,120,0.91,UP,1,True
1894026,120,0.86,DOWN,0,True
1894136,120,0.87,UP,0,False
1894163,90,0.79,DOWN,0,True
1894174,100,0.76,UP,1,True
1894481,108,0.81,DOWN,1,False
1894495,96,0.8,DOWN,0,True
1894666,120,0.87,UP,1,True
1894681,120,0.94,UP,1,True
1894757,0,0.99,DOWN,0,True
1894761,120,0.91,DOWN,0,True
1894771,120,0.8,DOWN,0,True
1894785,120,0.83,DOWN,0,True
1894935,120,0.88,UP,1,True
1895117,105,0.76,UP,1,True
1895138,120,0.91,DOWN,0,True
1895146,119,0.75,UP,1,True
1895322,120,0.88,UP,1,True
1895336,120,0.94,DOWN,0,True
1895351,119,0.79,UP,0,False
1895384,98,0.77,DOWN,0,True
1895411,0,0.999,DOWN,0,True
1895427,81,0.75,UP,1,True
1895437,120,0.99,UP,1,True
1895443,120,0.98,UP,1,True
1895467,101,0.79,DOWN,0,True
1895663,120,0.99,UP,1,True
1895670,120,0.97,UP,1,True
1895683,16,0.79,UP,1,True
1895973,115,0.76,DOWN,0,True
1895982,120,0.79,DOWN,0,True
1896005,84,0.81,UP,1,True
1896013,105,0.75,DOWN,0,True
1896074,120,0.95,DOWN,0,True
1896085,45,0.87,UP,1,True
1896101,94,0.76,DOWN,0,True
1896117,106,0.75,DOWN,0,True
1896163,120,0.93,UP,1,True
1896338,120,0.87,UP,1,True
1896355,120,0.99,UP,1,True
1896360,120,0.99,UP,1,True
1896571,120,0.94,DOWN,0,True
1896588,59,0.76,DOWN,0,True
1896600,120,0.99,DOWN,0,True
1896618,120,0.96,UP,1,True
1896708,107,0.75,UP,1,True
1896714,0,0.99,UP,1,True
1896738,52,0.76,DOWN,0,True
1896747,120,0.96,UP,1,True
1896791,120,0.85,DOWN,0,True
1897004,120,0.77,UP,1,True
1897023,120,0.99,UP,1,True
1897026,115,0.77,UP,1,True
1897458,115,0.75,DOWN,0,True
1897472,120,0.92,UP,1,True
1897507,120,0.9,UP,1,True
1897515,120,0.95,UP,1,True
1897614,120,0.98,UP,1,True
1897637,120,0.98,DOWN,0,True
1897660,120,0.97,UP,1,True
1897670,120,0.96,UP,1,True
1897934,120,0.93,UP,1,True
1898105,120,0.77,DOWN,0,True
1898114,56,0.76,UP,1,True
1898124,120,0.76,UP,1,True
1898419,120,0.93,DOWN,1,False
1898432,120,0.95,UP,1,True
1898443,120,0.81,UP,1,True
1898448,120,0.93,DOWN,0,True
1898505,120,0.83,DOWN,0,True
1898536,100,0.8,DOWN,0,True
1898549,80,0.96,UP,1,True
1898566,29,0.94,DOWN,0,True
1898611,19,0.76,DOWN,0,True
1898749,120,0.95,UP,0,False
1898784,20,0.95,DOWN,0,True
1898795,75,0.8,UP,1,True
1898969,98,0.75,UP,1,True
1898979,120,0.92,DOWN,0,True
1898993,53,0.78,UP,1,True
1899010,112,0.78,DOWN,0,True
1899039,115,0.8,UP,1,True
1899052,119,0.76,UP,0,False
1899075,120,0.98,DOWN,0,True
1899083,83,0.78,DOWN,0,True
1899217,120,0.96,UP,1,True
1899469,120,0.88,DOWN,0,True
1899610,0,0.99,UP,1,True
1899617,119,0.75,DOWN,0,True
1899820,120,0.96,DOWN,0,True
1899933,120,0.77,UP,0,False
1900038,112,0.75,DOWN,0,True
1900058,26,0.79,UP,1,True
1900112,120,0.89,UP,1,True
1900120,120,0.78,DOWN,0,True
1900137,120,0.91,UP,1,True
1900146,120,0.91,UP,1,True
1900212,120,0.83,DOWN,0,True
1900358,120,0.84,UP,1,True
1900399,120,0.96,UP,1,True
1900404,87,0.76,UP,1,True
1900576,120,0.91,DOWN,0,True
1900586,120,0.81,DOWN,1,False
1900596,120,0.94,DOWN,0,True
1900607,114,0.76,DOWN,0,True
1900647,120,0.78,DOWN,0,True
1900649,55,0.77,DOWN,1,False
1900664,119,0.75,UP,1,True
1900676,98,0.82,DOWN,0,True
1900691,120,0.8,DOWN,0,True
